0.00000000	-60.00000000
0.02000000	-60.16186204
0.04000000	-60.32048977
0.06000000	-60.47610469
0.08000000	-60.62890860
0.10000000	-60.77908449
0.12000000	-60.92679759
0.14000000	-61.07219637
0.16000000	-61.21540924
0.18000000	-61.35654638
0.20000000	-61.49570587
0.22000000	-61.63297473
0.24000000	-61.76842988
0.26000000	-61.90213906
0.28000000	-62.03416172
0.30000000	-62.16454780
0.32000000	-62.29333529
0.34000000	-62.42055733
0.36000000	-62.54624277
0.38000000	-62.67041669
0.40000000	-62.79310081
0.42000000	-62.91431395
0.44000000	-63.03407238
0.46000000	-63.15238841
0.48000000	-63.26926846
0.50000000	-63.38471833
0.52000000	-63.49874335
0.54000000	-63.61134853
0.56000000	-63.72253863
0.58000000	-63.83231826
0.60000000	-63.94069202
0.62000000	-64.04766448
0.64000000	-64.15323824
0.66000000	-64.25741386
0.68000000	-64.36019288
0.70000000	-64.46157770
0.72000000	-64.56157160
0.74000000	-64.66017863
0.76000000	-64.75740360
0.78000000	-64.85325204
0.80000000	-64.94773012
0.82000000	-65.04084465
0.84000000	-65.13260157
0.86000000	-65.22300580
0.88000000	-65.31206336
0.90000000	-65.39978122
0.92000000	-65.48616723
0.94000000	-65.57123002
0.96000000	-65.65497897
0.98000000	-65.73742406
1.00000000	-65.81857587
1.02000000	-65.89844548
1.04000000	-65.97704447
1.06000000	-66.05438481
1.08000000	-66.13047730
1.10000000	-66.20533272
1.12000000	-66.27896250
1.14000000	-66.35137862
1.16000000	-66.42259356
1.18000000	-66.49262019
1.20000000	-66.56147180
1.22000000	-66.62916193
1.24000000	-66.69570443
1.26000000	-66.76111334
1.28000000	-66.82540291
1.30000000	-66.88858750
1.32000000	-66.95068162
1.34000000	-67.01169985
1.36000000	-67.07165657
1.38000000	-67.13056519
1.40000000	-67.18843936
1.42000000	-67.24529292
1.44000000	-67.30113986
1.46000000	-67.35599429
1.48000000	-67.40987038
1.50000000	-67.46278236
1.52000000	-67.51474447
1.54000000	-67.56577095
1.56000000	-67.61587603
1.58000000	-67.66507388
1.60000000	-67.71337863
1.62000000	-67.76080430
1.64000000	-67.80736485
1.66000000	-67.85307416
1.68000000	-67.89794596
1.70000000	-67.94199388
1.72000000	-67.98523145
1.74000000	-68.02767202
1.76000000	-68.06932839
1.78000000	-68.11021301
1.80000000	-68.15033834
